1973.10.14;Antonio Inoki & Seiji Sakaguchi vs Karl Gotch & Lou Thesz;http://njpwworld.com/p/s_series_00001_1_1;World's Strongest;Kuramae Kokugikan;;;1
1973.12.10;Johnny Powers (c) vs Antonio Inoki;http://njpwworld.com/p/s_series_00002_1_1;World Title Series;Tokyo Metropolitan Gym;NWF World Heavyweight Title;;0
1974.03.19;Antonio Inoki (c) vs Strong Kobayashi;http://njpwworld.com/p/s_series_00003_1_1;Big Fight Series;Kuramae Kokugikan;NWF World Heavyweight Title;;0
1974.04.26;Antonio Inoki vs Seiji Sakaguchi;http://njpwworld.com/p/s_series_00004_1_1;1st World League;Hiroshima Gymnasium;World League Match;;0
1974.05.08;Antonio Inoki vs Killer Karl Krupp;http://njpwworld.com/p/s_series_00004_2_1;1s World League;Tokyo Metropolitan Gym;World League Play-Off;;0
1974.10.10;Antonio Inoki (c) vs Kintaro Oki;http://njpwworld.com/p/s_series_00004_2_1;Toukon Series;Kuramae Kokugikan;NWF World Heavyweight Title;;0
1974.12.12;Antonio Inoki (c) vs Strong Kobayashi;http://njpwworld.com/p/s_series_00006_1_1;Toukon Series II;Kuramae Kokugikan;NWF World Heavyweight Title;;0
1974.12.15;Antonio Inoki (c) vs Andre the Giant;http://njpwworld.com/p/s_series_00005_2_1;Fighting Spirit Series;Sao Paolo Stadium;NWF World Heavyweight Title;;2
1975.05.16;Seiji Sakaguchi vs Kintaro Oki;https://njpwworld.com/p/s_series_00302_1_1;World League Tournament;Nippon University Hall;2nd Annual World League Play-Off;;0
1975.10.09;Antonio Inoki (c) vs Lou Thesz;http://njpwworld.com/p/s_series_00010_2_1;Toukon Series;Kuramae Kokugikan;NWF World Heavyweight Title;;1
1975.12.11;Antonio Inoki (c) vs Billy Robinson;http://njpwworld.com/p/s_series_00011_1_1;Toukon Series II;Kuramae Kokugikan;NWF World Heavyweight Title;;2
1976.02.06;Antonio Inoki vs Willem Ruska;https://njpwworld.com/p/s_series_00012_2_1;New Year Golden Series;Nippon Budokan;World Martial Arts Finals;;1
1976.10.07;Andre the Giant vs Antonio Inoki;http://njpwworld.com/p/s_series_00013_1_1;Martial World Finals;Kuramae Kokugikan;;;0
1976.12.09;Antonio Inoki (c) vs Willem Ruska;http://njpwworld.com/p/s_series_00237_1_1;Toukon Series II;Yokkaichi City Gym;Real World Martial Arts Title;;1
